text,subject,task_type,difficulty,language,source_url,source_title,source_file
"Завдання 2.1. Питома вага вартості виробництва продукції машинобудування в усій промисловості Харківської області у січні - липні 2011 року становила 19,2 %, а частка виробництва такої продукції у країні становила 11,5 %. Розрахуйте індекс рівня спеціалізації даної продукції у Харківській області.",Інше,homework,3,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Задача 2.3 Повна первісна вартість обладнання 2000 тис. грн. Його можлива ліквідаційна вартість 50 тис. грн., термін використання обладнання - 10 років . Розрахувати суму фізичного зносу об’єкта в нормальних умовах функціонування через 5 років після введення в дію.",Філологія,homework,3,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Задача № 1 . Як вплине значне збільшення цін на бензин на попит для автомобілів з економним використанням пального? Як це позначиться в довгостроковому періоді? Поясн іть рішення графічно.,Економіка,homework,4,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Задача № 6. Відомі функції ринкового попиту QD = 10 - P, та пропозиції QS = -5 + 2P. За кожну продану одиницю продукції виробник має сплатити податок у розмірі 1,5 грош. од. Яку частину цього податку виробник перекладає на споживача?",Маркетинг,homework,3,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Задача № 7. Ринок цигарок описується наступними функціями попиту та пропозиції: QD = 36 - 2P, QS = -4 + 3P. 1. Яку максимальну суму податку можна зібрати з цього ринку шляхом стягнення акцизу з кожної проданої пачки цигарок? 2. Представте результат у вигляді кривої Лафера.",Економіка,homework,3,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Задача № 8. Ринок цементу характеризується наступними функціями попиту та пропозиції: QD = 12 - P, QS = -3 + 2P. Яка сума податку буде зібрана з продаж цементу, якщо встановити 50% податку з обороту? На скільки підвиситься обсяг продаж цементу, якщо відмінити податок?",Економіка,homework,3,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Задача № 11. Попит та пропозиція описані функціями: QD=600 -100P, QS=150+50P. Знайдіть параметри рівноваги на ринку даного товару. Припустимо, що держава встановила податок в 1,5 гривні на даний товар. Що втратять покупці, продавці, банкіри?",Історія,homework,3,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Задача № 12. Задані такі функції попиту та пропозиції штучного товару: QD = 3000 - 1,5P, QS = 3,5P - 600. Вводиться акцизний податок на одиницю товару Т=2 гривні. Знайдіть рівноважний обсяг попиту та пропозиції до і після введення податку.",Інше,homework,3,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Задача № 3. Коефіцієнт попиту при ціні в 1 долар за пачку цигарок дорівнює 1000. За цією ціною реалізується 4000 пачок цигарок. Знайдіть цінову еластичність попиту. Якщо ціна підвищиться до 1,1 долара за пачку й при цьому коефіцієнт еластичності не зміниться, то як зміниться доход виробників?",Інше,homework,3,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Задача № 4. Коефіцієнт попиту при ціні в 5 грн за пачку чаю дорівнює 8000. За цією ціною магазин реалізував 24000 пачок чаю. Розрахуйте цінову еластичність попиту. Якщо ціна зросте до 5,2 грн за пачку і при цьому коефіцієнт еластичності не зміниться, то як зміниться доход магазина?",Інше,homework,3,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Задача № 5. Яку ціну необхідно назначити на білети в театр, щоб доход був максимальним, при умові що максимальна кількість місць становить 500 і максимальна ціна - 100 гривень?",Інше,homework,3,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Задача № 8. Знайдіть еластичність пропозиції, якщо при підвищенні ціни на 10% пропозиція зросла з 10 до 12. Величина попиту при цьому дорівнює 8.",Інше,homework,3,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Задача № 9. Нахил кривої попиту на телевізори дорівнює 0,5. По ціні 600 гривень продали 600 телевізорів. Знайдіть еластичність попиту по ціні.",Інше,homework,3,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Завдання 1. Змоделюйте систему органів виконавчої влади за основними організаційно-правовими рівнями. Наведіть моделі організаційної структури суб’єктів державного регулювання економіки на кожному з рівнів за вибором.,Право,project,4,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Підготувати короткі відповіді на питання для самоконтролю з теми «генетика».,Біологія,reading,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Підготувати короткі відповіді на питання для самоконтролю з теми «цільова аудиторія».,Маркетинг,exam_preparation,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Дати визначення основним термінам теми «періодична система».,Хімія,exam_preparation,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Підготувати короткі відповіді на питання для самоконтролю з теми «лексика».,Філологія,exam_preparation,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Ознайомитися з коротким теоретичним матеріалом з дисципліни «Філологія».,Філологія,reading,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Підготувати короткі відповіді на питання для самоконтролю з теми «SQL-запити».,Бази даних,reading,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Підготувати короткі відповіді на питання для самоконтролю з теми «похідна».,Математика,reading,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Ознайомитися з коротким теоретичним матеріалом з дисципліни «Право».,Право,reading,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Підготувати короткі відповіді на питання для самоконтролю з теми «державотворення».,Історія,exam_preparation,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Ознайомитися з коротким теоретичним матеріалом з дисципліни «Біологія».,Біологія,reading,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Підготувати короткі відповіді на питання для самоконтролю з теми «граматика».,Філологія,exam_preparation,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Ознайомитися з коротким теоретичним матеріалом з дисципліни «Хімія».,Хімія,reading,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Ознайомитися з коротким теоретичним матеріалом з дисципліни «Психологія».,Психологія,reading,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Прочитати матеріал з теми «екосистема» та виписати основні поняття.,Біологія,exam_preparation,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Підготувати короткі відповіді на питання для самоконтролю з теми «кислоти і луги».,Хімія,exam_preparation,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Ознайомитися з коротким теоретичним матеріалом з дисципліни «Програмування».,Програмування,reading,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Прочитати матеріал з теми «особистість» та виписати основні поняття.,Психологія,exam_preparation,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Підготувати короткі відповіді на питання для самоконтролю з теми «трудовий договір».,Право,exam_preparation,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Прочитати матеріал з теми «граматика» та виписати основні поняття.,Філологія,exam_preparation,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Прочитати матеріал з теми «кислоти і луги» та виписати основні поняття.,Хімія,exam_preparation,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Прочитати матеріал з теми «похідна» та виписати основні поняття.,Математика,exam_preparation,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Підготувати короткі відповіді на питання для самоконтролю з теми «особистість».,Психологія,exam_preparation,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Підготувати короткі відповіді на питання для самоконтролю з теми «правовідносини».,Право,exam_preparation,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Підготувати короткі відповіді на питання для самоконтролю з теми «культура».,Історія,exam_preparation,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Підготувати короткі відповіді на питання для самоконтролю з теми «матриці».,Математика,exam_preparation,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Підготувати короткі відповіді на питання для самоконтролю з теми «структури даних».,Програмування,exam_preparation,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Підготувати короткі відповіді на питання для самоконтролю з теми «хімічні реакції».,Хімія,exam_preparation,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Прочитати матеріал з теми «прибуток» та виписати основні поняття.,Економіка,exam_preparation,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Прочитати матеріал з теми «цільова аудиторія» та виписати основні поняття.,Маркетинг,reading,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Прочитати матеріал з теми «конкуренція» та виписати основні поняття.,Економіка,reading,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Ознайомитися з коротким теоретичним матеріалом з дисципліни «Бази даних».,Бази даних,reading,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Підготувати короткі відповіді на питання для самоконтролю з теми «суспільні зміни».,Історія,reading,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Прочитати матеріал з теми «суспільні зміни» та виписати основні поняття.,Історія,reading,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Підготувати короткі відповіді на питання для самоконтролю з теми «біологічні процеси».,Біологія,reading,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Підготувати короткі відповіді на питання для самоконтролю з теми «реклама».,Маркетинг,reading,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Підготувати короткі відповіді на питання для самоконтролю з теми «об'єктно-орієнтоване програмування».,Програмування,reading,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Підготувати короткі відповіді на питання для самоконтролю з теми «організм».,Біологія,reading,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Прочитати матеріал з теми «реклама» та виписати основні поняття.,Маркетинг,reading,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Підготувати короткі відповіді на питання для самоконтролю з теми «алгоритми».,Програмування,reading,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Підготувати короткі відповіді на питання для самоконтролю з теми «вебзастосунок».,Програмування,reading,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Ознайомитися з коротким теоретичним матеріалом з дисципліни «Математика».,Математика,reading,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Прочитати матеріал з теми «реляційна модель» та виписати основні поняття.,Бази даних,reading,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Підготувати короткі відповіді на питання для самоконтролю з теми «адміністративна відповідальність».,Право,reading,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Підготувати короткі відповіді на питання для самоконтролю з теми «сприйняття».,Психологія,reading,1,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Завдання для самостійної роботи ................................ ............................ 26 1.4. Контрольні питання ................................ ................................ .................. 27 ПРАКТИЧНА РОБОТА № 2 ................................ ................................ ................. 28 2.1. Основні теоретичні відомості ................................ ................................ .. 28 2.2. Порядок роботи ................................ ................................ ......................... 43 2.3.,Інше,other,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Завдання для самостійної роботи ................................ ............................ 47 2.4. Контрольні питання ................................ ................................ .................. 50 ПРАКТИЧНА РОБОТА № 3 ................................ ................................ ................. 51 3.1. Основні теоретичні відомості ................................ ................................ .. 51 3.2. Порядок роботи ................................ ................................ ......................... 65 3.3.,Інше,other,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Завдання для самостійної роботи ................................ ............................ 70 3.4. Контрольні питання ................................ ................................ .................. 73 ПРАКТИЧНА РОБОТА № 4 ................................ ................................ ................. 74 4.1. Основні теоретичні відомості ................................ ................................ .. 74 4.2. Порядок роботи ................................ ................................ ......................... 84 4.3.,Інше,other,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Завдання для самостійної роботи ................................ ............................ 90 4.4. Контрольні питання ................................ ................................ .................. 91 ПРАКТИЧНА РОБОТА № 5 ................................ ................................ ................. 92 5.1. Основні теоретичні відомості ................................ ................................ .. 92 5.2. Порядок роботи ................................ ................................ ....................... 101 5.3.,Інше,other,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Завдання для самостійної роботи ................................ .......................... 105 5.4. Контрольні питання ................................ ................................ ................ 109 ПРАКТИЧНА РОБОТА № 6 ................................ ................................ ............... 110 6.1. Основні теоретичні відомості ................................ ................................ 110 4 6.2. Порядок роботи ................................ ................................ ....................... 115 6.3.,Інше,other,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Завдання для самостійної роботи ................................ .......................... 120 6.4. Контрольні питання ................................ ................................ ................ 123 ПРАКТИЧНА РОБОТА № 7 ................................ ................................ ............... 124 7.1. Основні теоретичні відомості ................................ ................................ 124 7.2. Порядок роботи ................................ ................................ ....................... 129 7.3.,Інше,exam_preparation,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Завдання для самостійної роботи ................................ .......................... 136 7.4. Контрольні питання ................................ ................................ ................ 140 ПРАКТИЧНА РОБОТА № 8 ................................ ................................ ............... 141 8.1. Основні теоретичні відомості ................................ ................................ 141 8.2. Порядок роботи ................................ ................................ ....................... 147 8.3.,Інше,exam_preparation,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Завдання для поточного контролю: 1. Яке місце займає сімейне право в системi права? 2. Якi відносини утворюють предмет сімейного права? 3. Яка сутність методу сімейного права? 4. У чому полягають основнi засади (принципи) сучасного сімейного права України? Вирішення практичних завдань. Терміни: система права, джерело права, джерела законодавства, сімейне право, звичай , аналогія , міжнародні договори, договір, закон. Література : базова [1,2,3,4,5], додаткова [2,4]. Практичне заняття 2. Сімейні правовідносини. 1. Поняття та види сімейних правовідносин. 2. Підстави виникнення, зміни та припинення сімейних правовідносин. 3. Здійснення сімейних прав та виконання сімейних обов’язків. 4. Захист сімейних прав та інтересів. 5. Поняття та види строків в сімейному праві.",Право,other,3,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Завдання для поточного контролю: 1. Що таке шлюб і які його ознаки? 2. Що таке фіктивні шлюби? 3. Які бувають правові наслідки відмови наречених від реєстрації шлюбу? Вирішення практичних завдань. Терміни: шлюб, державна реєстрація, шлюбний вік, дієздатність, обман, омана, фіктивний шлюб, недійсність. Література : базова [1,2,3], додаткова [3,5,11,]. Практичне заняття 3. Визначення походження дітей. 4. Визначення походження дітей від батьків, які перебувають у шлюбі між собою. 5. Визначення походження дітей від батьків, які не перебувають у шлюбі між собою. 6. Оспорювання батьківства та материнства.",Право,other,3,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Завдання для поточного контролю: 1. Назвіть підстави припинення шлюбу закріплені в СК України? 2. Які заходи щодо примирення подружжя вживаються судом? 3. Які є підстави, порядок встановлення та припинення режиму окремого проживання подружжя? Вирішення практичних завдань. Терміни: припинення, розірвання, окреме проживання, сепарація, окреме проживання. Література : базова [1,2,3], додаткова [3,5,11,]. Практичне заняття 5. Особисті немайнові правовідносини подружжя. 1. Загальна характеристика особистих немайнових прав та обов’язків подружжя. 2. Види особистих немайнових прав та обов’язків подружжя. 3. Характеристика видів особистих немайнових прав та обов’язків подружжя.",Право,other,3,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Завдання для поточного контролю: 1. Що означає право чоловіка та дружини на зміну прізвища? Вирішення практичних завдань. Терміни: немайнові права, рівність прав та обов`язків, подружжя, право на материнство, право на батьківство, духовний розвиток, індивідуальність, життя сім`ї, свобода, недоторканість, моральні засади суспільств а. Література : базова [1,2,3], додаткова [2,3,4,6,9,10]. Практичне заняття 6. Майнові правовідносини подружжя. Вирішення спорів. 1. Загальна характеристика майнових правовідносин подружжя. 2. Правовий режим спільного та роздільного майна подружжя. 3. Основні аспекти поділу спільного майна подружжя. 4. Договірний режим майна подружжя. 5. Шлюбний договір. 6. Питання прав та обов’язків подружжя по утриманню.",Право,other,3,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Завдання для поточного контролю: Вирішення практичних завдань. Терміни: народження, події, дії, походження, допоміжні репродуктивні технології, сурогатна матір, спільне проживання, спільне виховання. Література : базова [1,2,4], додаткова [7,11]. Практичне заняття 8. Особисті немайнові правовідносини батьків і дітей. 1. Загальні підстави виникнення прав і обов’язків батьків і дітей. 2. Ознаки особистих немайнових прав батьків щодо дітей. 3. Особисті немайнові правовідносини батьків і дітей. 4. Позбавлення батьківських прав. Підстави та порядок. Обмеження в батьківських правах.",Право,other,3,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Завдання для поточного контролю: 1. Рівність прав та обов`язків батьків стосовно дитини. 2. Позбавлення батьківських прав як міра сімейно -правової відповідальності. Вирішення практичних завдань. Терміни: прізвище, право на ім`я, по батькові, виховання, піклування, місце проживання. Література : базова [1,2,4], додаткова [7,11]. Практичне заняття 9,10. Майнові правовідносини батьків та дітей. Аліментні правовідносини. 1. Правовідносини батьків та дітей з приводу майна. 2. Правовідносини батьків щодо утримання. 3. Обов`язок батьків утримувати дитину. 4. Порядок стягнення аліментів. 5. Обов`язок батьків щодо утримання повнолітніх дітей. 6. Припинення обов’язку щодо утримання дитини. 7. Обов`язок повнолітніх дітей утримувати батьків. Порядок виконання.",Право,other,3,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Завдання для поточного контролю: 1. Охарактеризуйте майно яке належить батькам та дітям на праві спільної сумісної власності або спільної часткової власності. 2. Способи та порядок надання дитині утримання. 3. В яких розмірах стягуються аліменти на дитину? З яких видів доходів утримуються аліменти? Вирішення практичних завдань. Терміни: майно, аліменти, утримання, стягнення аліментів за минулий час. Література : базова [1,2,3,4,5], додаткова [1, 4,11]. Практичне заняття 11. Інститут усиновлення за законодавством України. 1. Поняття та сутність усиновлення. 2. Умови, порядок та правові наслідки усиновлення. 3. Скасування усиновлення. 4. Визнання усиновлення недійсним. 5. Позбавлення усиновлювача батьківських прав.",Право,other,4,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Завдання для поточного контролю: 1. Розкрийте процедуру обліку осіб, які бажають усиновити дитину. 2. Яким чином ведеться облік дітей, які залишилися без батьківського піклування? 3. Суб’єкти відносин щодо усиновлення. Вирішення практичних завдань. Терміни: усиновлення, згода дитини на усиновлення, умови усиновлення, порядок усиновлення, недійсність усиновлення. Література : базова [1,2,3,4,5], додаткова [2,4]. Практичне заняття 12. Опіка та піклування над дітьми . 1. Поняття та значення опіки та піклування над дітьми. 2. Порядок встановлення опіки та піклування над дітьми. 3. Права дитини над якою встановлено опіку або піклування. 4. Права та обов’язки опікунів та піклувальників. 5. Припинення опіки та піклування над дітьми. 6. Порядок звільнення опікунів та піклувальників.",Право,other,4,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Завдання для поточного контролю: Вирішення практичних завдань. Терміни: народження, події, дії, походження, допоміжні репродуктивні технології, сурогатна матір, спільне проживання, спільне виховання. Література : базова [1,2,4], додаткова [7,11]. Практичне заняття 4. Інститут усиновлення за законодавством України. 1. Поняття та сутність усиновлення. 7.",Право,other,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Завдання № 1 Прочитай речення. Знайди помилки у фразеологізмах. Запиши виправлені варіанти. *Перевір цю вправу самостійн о (відповіді у презентації «Ключі № 4») Усі фразеологізми виправлено. 5 балів Більша частина фразеологізмів виправлена. 3 бали Тільки 1-2 фразеологізмів вдалося виправити. 1 бал Пропоную гру за покликАнням для закріплення теми - https://learningapps.org/display?v=pufezs15321 Ця ідея пробігла в моїй голові. Усі були без розуму від нового вчителя. Відома істина: серцю не прикажеш. Ніхто не хоче залишитися в дурнях. Спортсмени прагнуть перемогти любою ціною.,Інше,other,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Завдання 2. Прочитати текст, статті 10 Конституції України. Да йте визначення державної мови. Державною мовою в Україні є українська мова. Держава забезпечує всебічний розвиток і функціонування української мови в усіх сферах суспільного життя на всій території України. В Україні гарантується ві льний розвиток, використ ання і захист російської , інших мов національних меншин України. Держава сприяє вивченню мов міжнародного спілкування. Застосування мов в Україні гарантується Конституцією України та визначається Законом.",Філологія,reading,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Завдання 3. Прокоментувати думку, висловлену відом им, письменникам 10 Б. Д. Антоненком -Давидовичем. Правильно й чисто говорити своєю мовою може кожен, аби тільки було бажання! Це не є перевагою вчених -лінгвістів, письменників або вчителів мовників, це -- не тільки ознака, а й обов 'язок кожної культурної людини. Культурними в на с можуть бути всі, незалежно від того, працює людина розумово чи фізично.",Інше,other,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Завдання 9. Поясніть значення наведених ви словів. ➢ Хто мови своєї цурається, хай сам себе стидається. ➢ На ласкаве слово не кидайся, а за грубе не гнівайся. ➢ Рідна мова - не полова: її за вітром не розвієш. ➢ Мовивши слово, треба бути йому паном. ➢ Слово — не горобець, вилетить — не спіймаєш. ➢ Від меч а рана загоїться, а від лихого слова — ніколи. ➢ Від теплого слова і лід розмерзається.",Філологія,other,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Завдання 1. З будь -якого часопису оберіть для аналізу статтю. Попередньо проглянувши її, проаналізуйте за поданим планом: • До якого виду можна віднести цю статтю? • Які підтеми можна в ній виділити? • Як автор будує статтю? • Що є важливим для автора, а що - для нас, читачів? • Які головні ідеї та положення викладено автором у статті?",Інше,other,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
